rank,title,year,length,rating,votes
236,My Father and My Son,2005,1h 52m,8.2,92K
237,The Sound of Music,1965,2h 52m,8.1,260K
238,The Battle of Algiers,1966,2h 1m,8.1,66K
239,The Grapes of Wrath,1940,2h 9m,8.1,100K
240,To Be or Not to Be,1942,1h 39m,8.1,43K
241,Groundhog Day,1993,1h 41m,8.0,684K
242,Amores Perros,2000,2h 34m,8.1,253K
243,Rebecca,1940,2h 10m,8.1,146K
244,Cool Hand Luke,1967,2h 7m,8.1,188K
245,The Iron Giant,1999,1h 26m,8.1,227K
246,The Help,2011,2h 26m,8.1,492K
247,It Happened One Night,1934,1h 45m,8.1,112K
248,Dances with Wolves,1990,3h 1m,8.0,290K
249,Aladdin,1992,1h 30m,8.0,465K
250,Andhadhun,2018,2h 19m,8.2,102K
